"","Y","avg_ADX","avg_aroon","avg_BBands","avg_CCI","avg_chaikinVolatility","avg_CLV","avg_CMOClose","avg_CTI","avg_DonchianChannel","avg_DPOClose","avg_DVIClose","avg_GMMAClose","avg_KSTClose","avg_lags","avg_MACD","avg_PBandsClose","avg_ROCClose","avg_momentumClose","avg_RSIClose","avg_runSum","avg_runMin","avg_runMax","avg_runMedian","avg_SAR","avg_SMAClose","avg_EMAClose","avg_DEMAClose","avg_SNR","avg_SMI","avg_TDI","avg_TRIX","avg_ultimateOscillator","avg_VHF","avg_volatility","avg_williamsAD","avg_WPR","avg_ZigZag"
"1","0",NA,NA,NA,NA,NA,0.0200526753077078,NA,0.936958607158504,NA,NA,NA,NA,NA,1494.30588598522,NA,NA,NA,NA,NA,NA,NA,NA,NA,1494.33298005588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1494.61407940653
"2","1",34.0379671969764,46.8698060941828,1480.62321628626,4.11052520519149,0.0611455198736421,-0.0541455075607652,1.66098227084631,0.952567013100619,1482.85534855953,0.00654293629165378,0.578375763971332,1482.03121824184,-0.0169119788156973,1482.16493334487,-0.000280651738117762,1481.98660149758,2.64358235319576e-06,0.00392139889196701,51.053977436966,14819.9841741689,1481.29564750692,1482.70744892659,1481.99792936288,1482.09493450067,1481.99841741689,1482.00012742206,1482.00958729345,5.57485685396316,-0.217547658734353,-3.14411617036,-0.000346450554558239,49.3056877527914,0.449609504936603,0.00258733109255692,-15.374021217249,0.503913773386625,1493.46800594128
"3","1",34.5713569845584,53.1024930747922,1494.88913792272,22.197409727153,0.0692093599499297,0.0797182068943695,10.2011797469473,0.928981734113678,1496.44976454294,-0.0331223164755833,0.490900496856176,1495.68468804272,0.461841161884566,1496.18474896122,0.0145392622339615,1495.79895156683,1.95332163552197e-05,0.0291343490304707,57.0213163720726,14959.4284652008,1495.5162958795,1496.36707929363,1495.9461175554,1495.8972843795,1495.94284652008,1495.94419219524,1496.07744076326,6.48298000678126,18.448990910421,5.55711305401655,0.00224652515916271,54.2510453647491,0.505493293242174,0.00143926103761847,-1.12582869647556,0.431045525770136,1492.32193247604
"4","1",35.814680774505,52.2916666666667,1499.47018949652,22.8984707551884,0.0750850248400044,0.0190185116530976,10.1255387232853,0.955363408521303,1501.22048090278,-0.0173170138803591,0.519508377425044,1500.44140069152,0.272492230309501,1500.78790538194,0.00875589122455904,1500.47789427083,1.27719601733374e-05,0.0191527777777777,54.8633786364429,15005.7975373263,1500.11083767361,1501.10531944444,1500.56172439236,1500.59535668874,1500.57975373263,1500.58021733149,1500.67068934929,4.72989007956744,6.05277163146528,1.06115711805539,0.00108724740110534,53.1545554092103,0.482501143028113,0.00186176042632835,4.72244167758503,0.457634644246836,1491.17732457788
"5","0",32.4863360159747,49.8060941828255,1504.70355949792,18.2703622400619,0.0647466822113019,0.116676481876882,7.14480509506114,0.95485166172304,1506.48303410665,0.00262084487925427,0.517765905993053,1505.80093861093,0.132512262061821,1506.02114265928,0.00438153430906814,1505.81218615824,5.79106789342679e-06,0.00871277700831037,52.2388686818347,15058.6902389196,1505.31632011773,1506.38890322022,1505.88540469183,1505.82225011717,1505.86902389196,1505.86868867938,1505.91772917345,5.7682211425302,10.4594940543836,-0.468257877423774,0.000460625728367764,53.9389550774953,0.47105975444162,0.00197358308465434,11.6748568990945,0.435915841833765,1490.03271667972
"6","0",29.9360673370056,52.5761772853186,1508.46644280831,4.60876937166887,0.0375931129176785,0.0498289766557353,3.19858131975323,0.939292921425525,1509.61959833795,-0.00285474376361734,0.486971815503671,1509.11046496876,0.162466177426762,1509.3379890928,0.00531630405080346,1509.14367390928,6.249644793529e-06,0.00942087950138519,52.0382769586641,15092.0471485457,1508.85116256925,1509.54920619806,1509.20650796399,1509.23118618716,1509.20471485457,1509.20407899242,1509.25653978222,3.97593437916054,6.51465217999239,0.369181527008282,0.000760822651847762,51.3548105229215,0.410163483680909,0.00127266160207121,16.449321926795,0.470657705811315,1488.88664321448
"7","1",30.6948431715269,52.3407202216066,1503.513926699,4.56931360348777,0.108193124275718,0.0255550669888666,1.23717473302152,0.950138572314653,1505.00894390582,-0.0153656509632232,0.522892758211318,1504.50514242268,-0.0869420996513817,1504.53903220222,-0.00258548242326189,1504.4810994633,-1.30637874963993e-06,-0.00197022160664901,50.7465864692544,15044.5563694598,1503.97894044321,1504.91767226454,1504.46019390582,1504.48517475273,1504.45563694598,1504.4570825981,1504.43513928493,5.32483043420366,3.13939256141108,-2.60372749307479,-0.000408780806334653,51.0733336039707,0.459305078930992,0.00170383843027115,11.9193842536698,0.483679403680073,1487.74056974923
"8","1",32.8012309002658,50.8310249307479,1506.89289690238,5.20741390658676,0.242781084227363,0.023031499097335,4.79770619278877,0.911331916990533,1508.73465392971,-0.040511080325278,0.491036802532647,1507.96610760986,0.164729398224349,1508.25949359418,0.00519227918649676,1507.99306037915,1.10989155476639e-05,0.0167615997229915,53.0439768264891,15080.4774376731,1507.45715569845,1508.63132541272,1508.04781711832,1507.92369617504,1508.04774376731,1508.050620462,1508.10337440528,5.08347781533324,7.19611699096835,-0.0425589837494808,0.000693963130907018,52.1276172648849,0.435631901183481,0.00242253100711275,15.9942971535372,0.468201554373751,1486.59449628398
"9","0",24.2829877909272,39.0304709141274,1499.50640308636,-21.5732367722999,0.124628349207741,-0.0410290710311515,-12.8610043693056,0.955678670360111,1501.71438075034,0.0442875447488877,0.47505166424834,1501.1963517693,-0.678634351853221,1500.75342643509,-0.0214253505892971,1501.07567862013,-3.0998868762795e-05,-0.046601537565266,41.9099818162726,15008.4289957059,1500.07120184529,1501.56759167573,1500.85904612207,1500.79943830192,1500.84289957059,1500.84117294672,1500.62867285649,6.65026992220521,-16.0835856396552,-11.0473914996866,-0.00286113555421511,46.8161228903625,0.489103341356473,0.00284124809176661,8.95343150566021,0.546877081940499,1485.44842281874
"10","1",32.8245630064372,50.1111111111111,1499.83688658293,15.1696122797938,0.0481313767434653,-0.0469332712797684,6.17753580118509,0.945231739622389,1501.70345052083,-0.0350214409637816,0.526490299823633,1500.90226329494,0.326510073678775,1501.34198697917,0.0109972761919786,1500.93173710937,2.10823814885858e-05,0.0315755208333333,54.6040992836949,15010.667673611,1500.55400173611,1501.57661458333,1501.06070399306,1501.00188474372,1501.0667673611,1501.07164057612,1501.19401357664,4.95927473029959,8.72041036251481,1.3077560763889,0.0012592448685923,50.2810926102676,0.480923667241426,0.00191626182980397,9.40960974613019,0.467777417813649,1484.30381492058
"11","0",29.4869615747579,46.2049861495845,1504.09677729311,-14.3583094593408,0.0629010128192073,0.0430014924936114,-3.70008330012087,0.948251515214629,1505.97796485457,0.0229203601181213,0.478872620146858,1505.31578087864,-0.0843640860694329,1505.36068732687,-0.00262697036930578,1505.30238512811,-6.75010427576866e-06,-0.0101532202216061,48.6311534891911,15052.7937569251,1504.67654518698,1505.85576783241,1505.28781033587,1505.22463696951,1505.27937569251,1505.27544620184,1505.24872054255,5.87591730492443,-0.40081833317058,-3.41579683171742,-0.000352433211622692,49.7368036234902,0.476111173940432,0.00211684053668357,12.6700955927363,0.511147977198918,1483.15920702242
"12","0",29.989151239585,44.1551246537396,1507.48288839603,-8.84811994997886,0.117983229218235,0.0150191129091417,-2.70389299010269,0.920702059247904,1510.13131244102,0.0104708275713836,0.479176010200941,1509.11060428064,0.0328778619097392,1509.33224809557,0.00101107288696831,1509.14132245498,-6.56446724814499e-08,-9.86842105262652e-05,49.5655349422523,15091.4420212949,1508.3363434903,1509.95533933518,1509.14764759349,1509.18329668508,1509.14420212949,1509.14420521607,1509.14897015997,5.29516784292057,-1.24807726320032,-2.53806743421044,0.000309351480994953,50.3819058458123,0.462452770596471,0.00296093997521383,16.0927058345988,0.513749552534482,1482.01313355718
"13","1",34.3602160040106,45.3601108033241,1505.40900204209,7.05927264409856,0.0639079461297198,0.0435189243063227,5.57519065477124,0.9600233270156,1507.63135301246,-0.0210294321229823,0.568599129402453,1506.70952439348,0.293685583916154,1507.12392053324,0.00989832529827323,1506.74446684556,1.67384735951386e-05,0.0252146814404431,54.4472084708142,15068.6354934209,1506.21310335873,1507.50724636427,1506.86669278047,1506.84347116523,1506.86354934209,1506.86731495056,1506.97423006488,5.24478491709218,10.91487112561,0.75706327908581,0.00125235044656697,53.4494873623302,0.474726887547702,0.00232944707826323,13.292279317362,0.468801362060651,1480.86706009193
