"","model","Specificity","Precision","Recall","F1"
"1","original",0.715670436187399,0.66412213740458,0.662857142857143,0.663489037178265
"2","under",0.636510500807754,0.626865671641791,0.72,0.670212765957447
"3","over",0.733441033925687,0.661885245901639,0.615238095238095,0.637709772951629
"4","smote",0.592891760904685,0.63103953147877,0.820952380952381,0.713576158940397
"5","rose",0.920840064620355,0.828070175438597,0.44952380952381,0.582716049382716
