"","model","Specificity","Precision","Recall","F1"
"1","original",0.726415094339623,0.671077504725898,0.700197238658777,0.685328185328185
"2","under",0.658805031446541,0.642504118616145,0.769230769230769,0.700179533213645
"3","over",0.762578616352201,0.681434599156118,0.637080867850099,0.658511722731906
"4","smote",0.267295597484277,0.50635593220339,0.942800788954635,0.658855961405927
"5","rose",0.922955974842767,0.826241134751773,0.45956607495069,0.590621039290241
