"","avg_ADX","avg_aroon","avg_BBands","avg_CCI","avg_chaikinVolatility","avg_CLV","avg_CMOClose","avg_CTI","avg_DonchianChannel","avg_DPOClose","avg_DVIClose","avg_GMMAClose","avg_KSTClose","avg_lags","avg_MACD","avg_PBandsClose","avg_ROCClose","avg_momentumClose","avg_RSIClose","avg_runSum","avg_runMin","avg_runMax","avg_runMedian","avg_SAR","avg_SMAClose","avg_EMAClose","avg_DEMAClose","avg_SNR","avg_SMI","avg_TDI","avg_TRIX","avg_ultimateOscillator","avg_VHF","avg_volatility","avg_williamsAD","avg_WPR","avg_ZigZag"
"1",NA,NA,NA,NA,NA,0.0196438634056558,NA,0.903024870495436,NA,NA,NA,NA,NA,1494.30603878116,NA,NA,NA,NA,NA,NA,NA,NA,NA,1494.320197931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1493.98391644909
"2",39.058113893285,50.1939058171745,1480.58262551301,4.23302745981326,0.06810364606341,-0.0399544985177948,2.25142514792469,0.907761423856186,1482.95282548476,0.00730747921909905,0.558059622741063,1482.03128579869,-0.0168970437411143,1482.16484764543,-0.000559939434792095,1481.9866232687,3.23111496145722e-06,0.00479224376731307,50.9304056059066,14819.9846814405,1481.23432132964,1482.80631578947,1481.99594182825,1482.1120326426,1481.99846814405,1482.00019882575,1482.00973598464,4.96807771415788,-2.4489001194986,-3.262271468144,-0.000346460377706073,49.3413252223003,0.366708111977797,0.00416212781568627,-15.266731301939,0.514316859821782,1492.90631273571
"3",38.3292874956192,52.6315789473684,1494.86768933219,21.9419746183898,0.0762756720653571,0.0687581489855544,7.9488458076724,0.892002145403088,1496.48927977839,-0.0328975069302823,0.486587081739436,1495.68468583065,0.461829824431571,1496.18509695291,0.0146851867673023,1495.79893767313,1.99835227001092e-05,0.0298060941828255,54.9805123296799,14959.4283379502,1495.46565096953,1496.44224376731,1495.9408033241,1495.87038218686,1495.94283379502,1495.9441851065,1496.07743643766,5.82964039093579,16.7273851481543,5.45889196675901,0.00224651264369595,54.0256003661415,0.376098998861485,0.00241123135738933,-1.24703601108003,0.436465336771936,1491.82870902234
"4",40.7021520271581,52.7222222222222,1499.43861500985,21.9504512960326,0.0825683430671109,-0.010157054757622,7.7777037684205,0.919244659727315,1501.28127777778,-0.0170111111181869,0.524717813051146,1500.44140935155,0.272490671975436,1500.78816666667,0.00861536876988762,1500.47789444444,1.3096851495225e-05,0.0196388888888887,53.70361446698,15005.7975833334,1500.04786111111,1501.17869444444,1500.55672222222,1500.56237812829,1500.57975833334,1500.58022170192,1500.67070675567,4.2130863488326,5.4674845626685,0.975291666666709,0.00108723686795293,52.6557224836247,0.374058461321327,0.00308778329439896,3.74369444444517,0.459984533892948,1490.75248331883
"5",37.4489632225996,48.4903047091413,1504.66587569806,17.0102870615217,0.0735423912169662,0.0750398758328306,4.92942706906786,0.915062044062423,1506.53213296399,0.00370637118440513,0.517038209558985,1505.80103607892,0.132522706330312,1506.02127423823,0.00422894569928607,1505.81221191136,6.92424454604872e-06,0.0104155124653739,51.6644665862319,15058.6906371192,1505.22950138504,1506.46099722992,1505.88965373961,1505.77053072221,1505.86906371192,1505.86879351411,1505.91794369203,5.15958606443214,10.1735463261259,-0.568559556786724,0.00046061584792387,53.3648899907451,0.356112682664746,0.00326653507472909,10.1326592797812,0.435377764924369,1489.67625761532
"6",35.2927971272356,50.7340720221607,1508.43550916247,4.32382147893662,0.0434219457263917,0.0699873912077033,2.233814121672,0.886975451781877,1509.66166204986,-0.00263711911550324,0.479380468715649,1509.1104750958,0.162457407483686,1509.33878116343,0.00529515528414634,1509.14366759003,6.56037076592722e-06,0.0098891966759001,51.3377010932686,15092.0468975069,1508.78908587258,1509.60465373961,1509.21052631579,1509.21876476398,1509.20468975069,1509.2040866714,1509.25656272573,3.57807327284984,6.08279921661278,0.193587257617704,0.000760812810268735,51.606143716908,0.303305261967103,0.00220640929330317,14.1710526315804,0.473586007462176,1488.59865390194
"7",36.152900910946,50.0138504155125,1503.48649705907,4.27096178000994,0.115881930622963,0.0381187134641916,0.279256908589522,0.904927492586363,1505.05542936288,-0.0167368421050626,0.522156267862639,1504.50502923623,-0.0869570959897579,1504.53825484765,-0.00265545000677935,1504.48106509695,-2.58916322823569e-06,-0.00390581717451546,50.3486574890801,15044.555900277,1503.91686980609,1504.98027700831,1504.45774238227,1504.47200218045,1504.4555900277,1504.45696180707,1504.43489318878,4.82148920347438,1.95453986894735,-2.70139889196678,-0.000408771449359923,50.8441934851505,0.346443479094717,0.00289086669296294,8.71149584487644,0.489400275645414,1487.52105018857
"8",37.0639302687289,53.2686980609418,1506.84986924105,5.38962073294565,0.247607931458451,0.0152879472058906,4.38364691269721,0.883614165449189,1508.79905817175,-0.0418808864293708,0.492329507980478,1507.96599561764,0.164709867486906,1508.25914127424,0.00513995033930198,1507.99303462604,9.68272968642971e-06,0.0146260387811634,52.351125396136,15080.4769252078,1507.37024930748,1508.72360110803,1508.04549861496,1507.95103450401,1508.04769252078,1508.05050028295,1508.10313054261,4.5831198513984,6.47358048752628,-0.264002770083156,0.000693971435173008,52.1652923807986,0.338664722102361,0.00377330134935638,13.5967867036032,0.46783987731134,1486.4434464752
"9",28.8550022626969,37.7146814404432,1499.46133670161,-22.0766459200798,0.133245964873306,-0.00984691213537046,-9.98845869193795,0.924153383910192,1501.75983379501,0.0428060941800409,0.483827991030207,1501.19621970868,-0.678648057242449,1500.7520498615,-0.0212988237402508,1501.0756468144,-3.23475079518894e-05,-0.0486426592797782,43.8639033196209,15008.4287534626,1499.95335180055,1501.64656509695,1500.86533240997,1500.80870527528,1500.84287534626,1500.84103011036,1500.62838090601,5.89425796899142,-14.0061169426217,-11.1207479224377,-0.00286112218897751,46.8410947831203,0.374421847651509,0.00432879668936013,5.62736842105574,0.541652756869812,1485.36584276182
"10",38.3819966271132,50.5277777777778,1499.80524476883,14.4240671526091,0.0543013565110037,-0.0613913812914256,5.12913168775848,0.913985520660031,1501.76008333333,-0.0345944444459317,0.518035714285714,1500.90228972996,0.326510754023457,1501.34236111111,0.0106232822099984,1500.93172777778,2.14067248546273e-05,0.0320555555555555,53.3024674071999,15010.6677777778,1500.47788888889,1501.63941666667,1501.069875,1500.97448664868,1501.06677777778,1501.07166442021,1501.19407257355,4.38487079922508,8.02560610162929,1.13633333333331,0.00125922986057583,50.1295426857828,0.355611341992649,0.00318327128583985,4.5123888888929,0.470897690347483,1484.28961705831
