Date,avg_ADX,avg_aroonUp,avg_aroonDn,avg_ATR,avg_BBands_up,avg_BBands_mid,avg_BBands_dn,avg_CCI,avg_chaikinVolatility,avg_CLV,avg_CMOClose,avg_CTI,avg_Donchian_up,avg_Donchian_mid,avg_Donchian_dn,avg_DPOClose,avg_DVIClose,avg_GMMAClose,avg_KSTClose,avg_lagsClose,avg_MACD,avg_PBands_up,avg_PBands_mid,avg_PBands_dn,avg_ROCClose,avg_momentumClose,avg_RSIClose,avg_runSum,avg_runMin,avg_runMax,avg_runMedian,avg_SAR,avg_SMAClose,avg_EMAClose,avg_DEMAClose,avg_SNR,avg_SMI_smi,avg_SMI_signal,avg_TDI_rsi,avg_TDI_signal,avg_TDI_bb_up,avg_TDI_bb_mid,avg_TDI_bb_dn,avg_TRIX,avg_ultimateOscillator,avg_VHF,avg_volatility,avg_williamsAD,avg_WPR,avg_ZigZag,Y
2013-07-23,34.22833154857461,48.14008705975465,52.80965571824297,0.21366226462682114,1695.2771098984906,1694.3596052631578,1693.442100627825,-3.9469127263011914,5.101789436620577,-0.03691607183781506,1.2791510435621103,-0.04391537126796701,1695.1639058171747,1694.3422299168976,1693.5205540166205,-0.0001038781163337907,194.8758116692292,1694.356874098313,0.0001867509178808265,-0.0014404432132963485,0.006834883380750504,1736.7185953947367,1694.3596052631578,1652.0006151315793,-8.375796891467716e-05,-0.0014404432132963485,50.72953377066692,16943.649307479227,1693.8952354570636,1694.821218836565,1694.3700138504155,1694.1787833706373,1694.3596052631578,1694.3579160914862,1694.3676854205387,0.3766639169709187,5.521255117408244,5.939058623281684,50.69405956930136,50.72211102932651,76.37850948179076,51.26634271598952,26.15417595018827,6.705306103755195e-05,50.627808884911445,0.3766639169709187,0.0013271703437978566,-0.03691607183781506,-49.15083737015428,1698.395,0
2013-07-24,36.46652414300929,46.24060150375941,57.558369608231104,0.32417572134004535,1689.3358461799767,1687.8230637119116,1686.310281243846,-21.563238504806844,4.588801123306169,-0.053929222833817826,-8.329073295343349,-0.14377420105940375,1689.1571191135733,1687.8471191135732,1686.5371191135735,0.020897506925202355,213.47854983615278,1687.9245580942822,-0.0031958345998603153,-0.02077562326869806,-0.1674871328126292,1730.0186403047092,1687.8230637119116,1645.6274871191138,-0.0012266864559330281,-0.02077562326869806,46.11572465862977,16877.18736842105,1686.9766759002773,1688.456897506925,1687.7201385041553,1687.3600380897503,1687.8230637119116,1687.8363478706435,1687.60573527914,0.39583299111968767,-13.612438464382612,-14.432870711854529,46.12381424516428,46.12598701929709,72.05722236867162,45.18840746480584,18.319592560940066,-0.0013295314919386009,46.86986810939997,0.39583299111968767,0.002129462344738739,-0.053929222833817826,-55.77417779369582,,0
2013-07-25,41.254803273101814,56.094182825484765,48.93153937475267,0.3080274325731637,1686.7416469374461,1685.32011634349,1683.8985857495347,10.526523770746467,8.287052240416369,0.019109370223823155,4.020828403498218,0.15508996304194778,1686.5413296398892,1685.3121329639891,1684.0829362880888,-0.021279778393363813,211.9067821769102,1685.314256209915,0.000987783440745094,0.009196675900276832,0.05718118767480106,1727.4531192520774,1685.32011634349,1643.187113434903,0.0005477723253986573,0.009196675900276832,51.885677974036206,16853.711606648198,1684.7053739612188,1686.055512465374,1685.3596260387817,1685.1562880886424,1685.32011634349,1685.3290438479958,1685.4040012773778,0.41265186976176715,4.433102084483628,3.954642630081432,51.900759966907366,51.91738898005046,78.33736946635571,51.41006221255441,24.482754958753105,0.0005569098270419016,51.90265479959266,0.41265186976176715,0.0019575154480451565,0.019109370223823155,-46.078576573086934,,1
2013-07-26,35.19408746006412,57.93430945785515,43.62880886426593,0.32814441674122796,1685.1422737565897,1683.6827728531857,1682.2232719497817,29.022942764506265,5.532673349134228,0.05057187047442306,8.617692855043869,0.2988943027337796,1685.022132963989,1683.7260249307478,1682.4299168975067,0.001326869806096818,196.08075625540022,1683.7002946568778,-0.0005164075297460244,-0.0038781163434899266,-0.025647539833658518,1725.774842174515,1683.6827728531857,1641.590703531856,-0.00022579691642527565,-0.0038781163434899266,54.08276187521549,16836.691966759,1682.9702493074792,1684.4062603878117,1683.660055401662,1683.3926315789474,1683.6827728531857,1683.6871137511155,1683.6511542272015,0.40063765881482877,7.042768115949468,6.834886686399801,54.13856517689082,54.14682329016429,78.17458426536574,53.744301970507074,29.314019675648428,-0.00019205920670681715,53.35463757942819,0.40063765881482877,0.0020983731408469766,0.05057187047442306,-43.95256729639078,,1
2013-07-29,33.85518724600824,49.940641076375144,49.208547685001975,0.29278849712197513,1687.050358390353,1685.9491080332411,1684.8478576761288,-1.1984987341927755,4.207231641746689,0.03427130100404945,-0.937304695481759,0.05482471488610931,1687.0009972299165,1685.9746398891966,1684.9482825484763,0.016265927977835753,210.7398062793691,1685.9464577117799,-0.0010137923359110235,-0.01163434903047104,-0.0540112044911081,1728.0978357340719,1685.9491080332411,1643.80038033241,-0.0006863839892470309,-0.01163434903047104,49.80263922408384,16858.990969529088,1685.313601108033,1686.502326869806,1685.893698060942,1685.625346260388,1685.9491080332411,1685.941071227976,1685.870162905802,0.344084295068996,-3.3377759797057633,-2.6729055585452026,49.823065626711546,49.83240462734902,73.57011710700164,50.70641922539055,27.842721343779473,-0.0005418915606234292,50.401939760057374,0.344084295068996,0.001850263297462047,0.03427130100404945,-50.94470760187536,,0
2013-07-30,31.87178191703766,55.2433715868619,52.11713494261971,0.3044837938844965,1689.205398531828,1687.9198878116342,1686.634377091441,10.599809015379154,5.486304225121414,0.041226971358099884,1.7835771835531609,0.09920719455440767,1689.068725761773,1687.9192659279781,1686.7698060941825,-0.022186980609418604,217.75369760289018,1687.9499570743128,0.00021345437264156362,0.007617728531855956,0.015496611427185758,1730.1178850069252,1687.9198878116342,1645.7218906163434,0.0004544856431922065,0.007617728531855956,50.85208364959898,16879.448227146815,1687.3080886426592,1688.58216066482,1687.9350277008314,1687.7269584487535,1687.9198878116342,1687.9328428088018,1687.9498460890836,0.36048575763700663,1.703373822001397,0.4462934459894147,50.93632598736734,50.920194753681336,73.63393471997331,49.58094095724001,25.52794719450668,0.00024116749926329873,51.492839055385545,0.36048575763700663,0.001893233943739352,0.041226971358099884,-46.3980500969699,,0
2013-07-31,37.432165523566525,48.100514444004745,50.178076770874554,0.3802728719633296,1694.044139551657,1692.4664529085874,1690.8887662655177,-4.639035561356394,14.936286678040034,-0.036400260099974456,-2.7202215441798545,-0.00576236106911416,1693.8820498614957,1692.4449861495846,1691.0079224376732,-0.029167590027692286,239.52910938488154,1692.3928573353014,0.0026371318289469953,0.022382271468144473,0.14099197764101523,1734.7781142313017,1692.4664529085874,1650.1547915858728,0.0013290199102117606,0.022382271468144473,48.79605950535232,16925.570027700833,1691.772631578947,1693.3585041551248,1692.5479916897505,1692.317466371191,1692.4664529085874,1692.460123816469,1692.6534985574694,0.367701025056282,-3.132030208222063,-3.0563873992341417,48.74804857500899,48.712129285824346,71.67359956499601,48.88002011805435,26.08644067111268,0.001116423476664221,49.00579417776717,0.367701025056282,0.0024714948741318622,-0.036400260099974456,-52.602697066158974,,0
2013-08-01,33.367002460770145,56.252473288484374,52.92837356549267,0.3103862940013784,1704.6005371978656,1703.1774639889195,1701.7543907799736,11.606100004437709,2.2770419583115906,-0.03576665542516547,6.240113800170412,0.11630008804460827,1704.3162049861496,1703.1038781163436,1701.8915512465373,-0.07184072022159992,185.6853010303067,1703.0960448209214,0.005608714294697201,0.05138504155124641,0.3020723473375786,1745.7569005886426,1703.1774639889195,1660.5980273891967,0.0030366475243517117,0.05138504155124641,53.73719743124406,17034.13423822715,1702.748864265928,1704.0486149584485,1703.4173545706371,1703.2214006612244,1703.1774639889195,1703.1931016860733,1703.5982377241169,0.35179432843609953,15.235927024649857,15.094908403414893,53.64624639424698,53.62466318883497,76.62545383034475,53.27580054438682,29.926147258428877,0.002703354112274182,50.917785984424206,0.35179432843609953,0.00193665383667342,-0.03576665542516547,-45.40268551764684,1704.0654166666666,1
2013-08-02,34.72001091960944,58.74554808072813,49.40641076375149,0.2441263426721258,1705.6560883719792,1704.7126869806095,1703.7692855892399,22.542316077175144,2.852758479989688,0.005834401498513691,5.976449133307026,0.19754194194485108,1705.577728531856,1704.7053047091413,1703.8328808864264,-0.0017451523545633813,181.87523179079224,1704.7065530539298,4.646530750436907e-05,0.0005817174515236465,0.0031868620866295975,1747.3305041551243,1704.7126869806095,1662.0948698060938,3.5536072066068546e-05,0.0005817174515236465,52.86806016214823,17047.101274238226,1704.257894736842,1705.1848753462605,1704.7015650969527,1704.5236842105264,1704.7126869806095,1704.7110409359248,1704.7160580313146,0.35585423836720087,7.743891828662043,7.507515366625794,52.89203219601265,52.88812407104778,77.5973994841126,52.90983610752597,28.222272730939338,-1.0941806380124338e-05,52.08937621744066,0.35585423836720087,0.0014608050619292047,0.005834401498513691,-45.70367765749934,,1
2013-08-05,35.97004064866946,57.043925603482386,47.62564305500593,0.21570248795232924,1707.625569183609,1706.759747922438,1705.8939266612667,11.634605386539821,2.8962449470411147,0.09454772270207976,2.2319702228465386,0.14571654818926233,1707.53540166205,1706.7553739612188,1705.975346260388,0.008396121883645032,153.57763835372953,1706.7598046188455,-0.0005689091307526915,-0.0062880886426592295,-0.030544673963306065,1749.4287416204988,1706.759747922438,1664.0907542243763,-0.00036674147661017214,-0.0062880886426592295,50.9696477811142,17067.310747922438,1706.2961218836565,1707.1688365650969,1706.7262049861492,1706.5435512465376,1706.759747922438,1706.755578026434,1706.7152136049212,0.36156672165531634,0.017850633509464163,0.2008990843247108,51.11001800689048,51.096924287515684,76.90407645645189,51.187794968416014,25.471513480380143,-0.00030227677378487805,51.737831301652214,0.36156672165531634,0.0013145479771117445,0.09454772270207976,-46.20367319977303,,1
