,Accuracy,Precision,Recall,F1
original,0.7448453608247423,0.7557251908396947,0.5963855421686747,0.6666666666666666
under,0.7319587628865979,0.7094594594594594,0.6325301204819277,0.6687898089171974
over,0.7345360824742269,0.7480314960629921,0.572289156626506,0.6484641638225256
smote,0.7371134020618557,0.7222222222222222,0.6265060240963856,0.6709677419354839
