avg_ADX,avg_aroonUp,avg_aroonDn,avg_ATR,avg_BBands_up,avg_BBands_mid,avg_BBands_dn,avg_CCI,avg_chaikinVolatility,avg_CLV,avg_CMOClose,avg_CTI,avg_Donchian_up,avg_Donchian_mid,avg_Donchian_dn,avg_DPOClose,avg_DVIClose,avg_GMMAClose,avg_KSTClose,avg_lagsClose,avg_MACD,avg_PBands_up,avg_PBands_mid,avg_PBands_dn,avg_ROCClose,avg_momentumClose,avg_RSIClose,avg_runSum,avg_runMin,avg_runMax,avg_runMedian,avg_SAR,avg_SMAClose,avg_EMAClose,avg_DEMAClose,avg_SNR,avg_SMI_smi,avg_SMI_signal,avg_TDI_rsi,avg_TDI_signal,avg_TDI_bb_up,avg_TDI_bb_mid,avg_TDI_bb_dn,avg_TRIX,avg_ultimateOscillator,avg_VHF,avg_volatility,avg_williamsAD,avg_WPR,avg_ZigZag,Y
33.83790646593936,44.63785514205682,54.50180072028812,1.0247288808976176,1433.631581329232,1430.0529817927172,1426.474382256202,-18.999600651160613,4.841325751344577,-0.10993180136136284,-5.303829906324589,-0.15568774688395187,1433.5761064425772,1430.2131512605042,1426.8501960784315,0.032116246498599496,198.81869431394423,1430.1124111389563,-0.005388367583611093,-0.03098039215686259,-0.2345805556586432,1465.8043063375349,1430.0529817927172,1394.3016572478991,-0.0021532615192983336,-0.03098039215686259,47.54898585189168,14298.727731092435,1428.0200280112047,1431.826806722689,1429.8525490196077,1429.0220728291317,1430.0529817927172,1430.0479566703755,1429.7302271005208,0.33832942815547035,-13.803454248525087,-13.821831869517657,47.49848322604925,47.477213309426475,69.15746663037999,47.42723627173632,25.697005913092656,-0.0024815171160403313,47.065239659987924,0.33832942815547035,0.007046545189706968,-0.10993180136136284,-57.19247016509924,1416.0657142857142,0
34.58364883091312,49.219687875150065,51.88075230092037,1.4661236119044667,1395.1066792723198,1389.6239859943978,1384.1412927164758,-11.947848809033394,5.562496186752891,-0.03928671831923285,-4.969600883225255,-0.06937632327675357,1394.7460224089634,1389.5817226890758,1384.4174229691878,0.05282072829132154,271.88170526077613,1389.899278037676,-0.010929878762585638,-0.034229691876750776,-0.4687833651505252,1424.3645856442574,1389.6239859943978,1354.883386344538,-0.0023905019732907377,-0.034229691876750776,47.4545070842618,13893.088907563026,1386.3461904761905,1392.2487114845937,1389.2984873949579,1388.0318207282912,1389.6239859943978,1389.6549799830452,1389.011755880285,0.37352194355651114,-11.919534215232748,-12.716376878059828,47.50958391721846,47.443581345739005,70.75738595428237,46.6528639111735,22.548341868064636,-0.0047191915140124855,47.68220156768124,0.37352194355651114,0.009945614418637791,-0.03928671831923285,-52.54024192787558,1386.1821739130435,1
32.734465121681644,55.50059358923625,45.310645033636725,1.123146976273401,1440.1065068910516,1435.4055969529086,1430.7046870147656,11.876928371954307,5.221970097872236,0.03256729745193389,5.710781699567688,0.10926965746096567,1439.5935734072023,1435.325540166205,1431.0575069252077,-0.11479362880886092,272.9478693445273,1434.9456410786172,0.017589929714067937,0.08329639889196658,0.7687998578391628,1471.290736876731,1435.4055969529086,1399.520457029086,0.005865403801216558,0.08329639889196658,52.96567550190933,14359.070914127422,1433.654404432133,1438.1724930747923,1435.9019390581716,1435.3616066481995,1435.4055969529086,1435.3572635475161,1436.4166861585768,0.36962905445360295,14.663490059008288,14.995881824210143,52.8678695952182,52.898752125656074,77.12553000623176,53.728305287083494,30.331080567935242,0.0072598040734055454,51.247216494112834,0.36962905445360295,0.00726734182176247,0.03256729745193389,-45.51091336614591,1445.6666666666667,1
32.5833218251997,54.101640656262504,47.75910364145658,0.8403434304112594,1442.4948591136952,1439.7521904761904,1437.009521838686,3.045224897356977,5.549737090954545,0.006945445484985881,0.8033950033447298,0.04260671900573133,1442.3356302521008,1439.7183613445377,1437.1010924369748,-0.024151260504199332,292.0051190769637,1439.821064230075,0.00013660988187242892,0.004845938375350191,0.009532654580949684,1475.7459952380952,1439.7521904761904,1403.7583857142856,0.0003532631375520729,0.004845938375350191,50.43379862436487,14397.918319327731,1438.2508123249302,1441.3219887955183,1439.7665966386555,1439.2212605042016,1439.7521904761904,1439.7798764735635,1439.7845681359483,0.31930594466363393,0.5876304601460494,-0.17745143975139654,50.47241757009467,50.48882841252022,70.77574903722055,49.67714576279057,28.57854248836061,0.00037223206046078754,49.56189866453076,0.31930594466363393,0.005775765811629629,0.006945445484985881,-47.94580812864146,1450.95,1
30.15034439551087,48.59517214087851,50.61337554412347,0.724168767558555,1450.1021522945648,1447.5460041551246,1444.9898560156844,2.0879410784125394,6.000139462429017,0.036703943750823545,-0.1672624214250761,0.029341126288355595,1449.9141551246537,1447.5372991689749,1445.1604432132963,-0.009106648199443212,251.86640981191593,1447.5261533976786,-0.00014662957971915526,0.007950138504154823,-0.002011582396008254,1483.7346542590028,1447.5460041551246,1411.3573540512466,0.0005649705183048455,0.007950138504154823,50.30771463354511,14475.366398891969,1446.1864819944599,1448.9657063711911,1447.5131024930747,1447.0294736842106,1447.5460041551246,1447.5438524839071,1447.5393771866122,0.3209577434984492,-1.6990545944412736,-1.7704309303291716,50.336587281355776,50.28979923162235,73.3045171625339,49.9742445146883,26.643971866842705,-4.340884609347023e-05,49.92438386171783,0.3209577434984492,0.005267077101100653,0.036703943750823545,-50.44585801824657,1453.3014285714287,0
31.371837990023295,53.99683419074001,47.21013058963197,0.6038294907461078,1459.7473442545447,1457.3301675900277,1454.9129909255105,16.892471245475676,8.18350519320492,0.0718396383574174,4.901808682510997,0.08735569455581689,1459.4290858725763,1457.2898614958447,1455.1506371191135,-0.07210664819944493,255.66222168130867,1457.283482892041,0.004359384569788687,0.040664819944597884,0.21114063459153865,1493.7634217797784,1457.3301675900277,1420.8969134002768,0.0028095694146806245,0.040664819944597884,52.504323192976834,14575.052049861499,1456.2620498614958,1458.71540166205,1457.5020637119114,1457.1919390581716,1457.3301675900277,1457.3529438005535,1457.633685538121,0.35535636714043395,8.577982151631042,7.858237479490183,52.485296998784975,52.45121423539579,75.5499445434388,51.53508718499889,27.520229826558996,0.0022252578278880533,52.913001662424705,0.35535636714043395,0.004441688706004035,0.0718396383574174,-46.25445629074313,1460.357777777778,1
32.25565145683895,52.99603174603174,51.15079365079364,0.6448230633227688,1463.2750284608558,1460.8532069444443,1458.4313854280335,-2.087384111904881,7.819546699286874,0.01819357685829631,-1.68404395640238,0.025170029853106443,1463.0730555555556,1460.8884166666664,1458.7037777777778,-0.030401388888891587,282.65512372981243,1460.8826204731508,-0.0014071798374032452,-0.004111111111111162,-0.04502126329969151,1497.3745371180555,1460.8532069444443,1424.3318767708333,-0.0002692384268330359,-0.004111111111111162,49.291511232170656,14608.385111111113,1459.5755555555554,1462.094861111111,1460.8309583333335,1460.3501111111111,1460.8532069444443,1460.8732360111026,1460.8074790293972,0.34457632860954845,-3.5338568643603536,-3.8344363311754757,49.3283306554281,49.33943330641463,71.80584835806293,48.84372616752644,25.881603976989926,-0.00039624949654919965,50.78991980323958,0.34457632860954845,0.004571260942122991,0.01819357685829631,-50.39742987232503,1470.0133333333333,1
29.979171498976086,52.73809523809524,47.420634920634924,0.4667871033419079,1469.726034147194,1468.233677777778,1466.7413214083613,18.184586312532375,8.129265722345748,0.021420719781917633,6.991094408954681,0.10667966125530247,1469.6803611111109,1468.260625,1466.840888888889,-0.04620555555555307,286.9940709599117,1468.1131539195778,0.005423888350611353,0.036055555555555605,0.250513269950321,1504.9395197222223,1468.233677777778,1431.5278358333333,0.0024603990064321923,0.036055555555555605,53.9620732094356,14684.022444444445,1467.598861111111,1469.2386388888885,1468.4051944444445,1468.1812777777777,1468.233677777778,1468.2255975719133,1468.5670722191164,0.31062713497822597,15.093983113513726,15.362007289963422,53.87661750602891,53.868721143748,75.18842543579763,54.062022460284446,32.93561948477128,0.0023924520559775084,52.32754684739434,0.31062713497822597,0.0032809833616322037,0.021420719781917633,-46.082543601855185,1473.8780000000002,1
33.65996513056601,53.99042298483639,49.32162809257781,0.6258598470200334,1476.146398428119,1473.6060418994414,1471.0656853707637,11.268052971498864,6.563766199181947,0.047490321852787336,8.52019955713521,0.06312755764062701,1475.8657821229049,1473.564148044693,1471.2625139664804,-0.07327653631284901,274.756050539101,1473.458383917432,0.008356470008552516,0.05706703910614543,0.3865582383309146,1510.4461929469273,1473.6060418994414,1436.7658908519554,0.003902429479101392,0.05706703910614543,54.39235609914462,14738.960642458102,1472.647932960894,1475.1301117318435,1473.9107541899443,1473.6157262569834,1473.6060418994414,1473.6128914962353,1474.135215717327,0.37133354380590666,14.136444841841781,13.74476284937522,54.348662476327036,54.340491203694455,77.76156005645058,53.937720981939016,30.113881907427437,0.003885171567357275,52.69683159669886,0.37133354380590666,0.004329191003096,0.047490321852787336,-44.940656801464286,1479.91,0
34.488038073988534,59.29956470122674,35.69449940641076,0.41233483640634266,1485.9472947266265,1484.3596578947368,1482.772021062847,40.54884932013425,3.3605341639879884,0.09732489896757389,14.22121895024908,0.37228502504894295,1485.861274238227,1484.4177423822714,1482.9742105263156,-0.09683240997229729,233.0509725131027,1484.2902348818725,0.0057353168119176024,0.06373961218836563,0.28564507036787523,1521.4686493421054,1484.3596578947368,1447.2506664473683,0.004299449957968036,0.06373961218836563,57.509132581036795,14845.823822714683,1483.8373684210528,1485.3704155124653,1484.5722576177284,1484.498781163435,1484.3596578947368,1484.3838482530462,1484.7643549048512,0.35115673195679903,20.886013204473254,19.840012330481574,57.536534804411325,57.430172199025066,79.06541617308322,55.76749231924343,32.469568465403626,0.0028722586960245214,54.43712691116795,0.35115673195679903,0.0028144744934948643,0.09732489896757389,-39.57034265753676,1489.127105263158,1
