,Accuracy,Precision,Recall,F1
original,0.7377892030848329,0.7093023255813954,0.7011494252873564,0.7052023121387283
under,0.7095115681233933,0.6548223350253807,0.7413793103448276,0.6954177897574124
over,0.7069408740359897,0.6785714285714286,0.6551724137931034,0.6666666666666666
smote,0.7275064267352185,0.7125,0.6551724137931034,0.6826347305389222
