,Accuracy,Precision,Recall,F1
original,0.5192307692307693,0.4825174825174825,0.8808510638297873,0.6234939759036144
under,0.5480769230769231,0.5,0.8638297872340426,0.6333853354134166
over,0.5153846153846153,0.47848101265822784,0.8042553191489362,0.6
smote,0.5846153846153846,0.5278592375366569,0.7659574468085106,0.625
