,Accuracy,Precision,Recall,F1
original,0.6019230769230769,0.5472312703583062,0.711864406779661,0.6187845303867403
under,0.6230769230769231,0.5636942675159236,0.75,0.6436363636363637
over,0.6961538461538461,0.6839622641509434,0.614406779661017,0.6473214285714286
smote,0.6076923076923076,0.5526315789473685,0.711864406779661,0.6222222222222222
