avg_ADX,avg_aroonUp,avg_aroonDn,avg_ATR,avg_BBands_up,avg_BBands_mid,avg_BBands_dn,avg_CCI,avg_chaikinVolatility,avg_CLV,avg_CMOClose,avg_CTI,avg_Donchian_up,avg_Donchian_mid,avg_Donchian_dn,avg_DPOClose,avg_DVIClose,avg_GMMAClose,avg_KSTClose,avg_lagsClose,avg_MACD,avg_PBands_up,avg_PBands_mid,avg_PBands_dn,avg_ROCClose,avg_momentumClose,avg_RSIClose,avg_runSum,avg_runMin,avg_runMax,avg_runMedian,avg_SAR,avg_SMAClose,avg_EMAClose,avg_DEMAClose,avg_SNR,avg_SMI,avg_TDI,avg_TRIX,avg_ultimateOscillator,avg_VHF,avg_volatility,avg_williamsAD,avg_WPR,avg_ZigZag,Y
38.101526938993345,45.458183273309324,54.30172068827531,0.9988438527410454,1433.4999583052027,1430.0529621404298,1426.6059659756568,-19.293319837812962,4.611452230201079,-0.1387803486805022,-7.859661411309422,-0.15686270489350024,1433.5133548272831,1430.1992264379685,1426.8850980486543,0.030491116196880226,319.43108077807443,1430.1125874257255,-0.0053886859800551705,-0.032983971512752945,-0.23447596521707326,1465.8042861939402,1430.0529621404298,1394.301638086919,-0.002306905361535686,-0.032983971512752945,46.35416994502542,14298.72850075404,1428.1669231089063,1431.6339724636066,1429.8574568161628,1429.080919756918,1430.0529621404298,1430.0480357195004,1429.7304102392686,0.42946351985958714,-13.48133480918429,46.295754943405406,-0.002481165278896443,46.320751517672505,0.42946351985958714,0.004920714213315421,-0.1387803486805022,-57.02276918169275,1416.7415534129645,0
37.61351675089194,48.639455782312936,53.40136054421769,1.4500864901222565,1394.9750084162552,1389.6240689367567,1384.2731294572582,-12.044853223053655,5.068755195921299,0.2128540407070541,-6.5713747034386225,-0.0694118513896008,1394.6030949213532,1389.5166565572413,1384.4302181931291,0.050928722586084926,318.4207394591296,1389.8995042289437,-0.010930642648805241,-0.033525251751589984,-0.4686512730408336,1424.3646706601753,1389.6240689367567,1354.8834672133378,-0.0023567029248444766,-0.033525251751589984,46.23300090300721,13893.090569616861,1386.5093049881411,1392.0763649950643,1389.2939008882183,1388.0962314318656,1389.6240689367567,1389.6551132188686,1389.012029325428,0.4504788100521096,-11.18070939420439,46.324809494125375,-0.004718123701801564,47.956917269802005,0.4504788100521096,0.007667804107338583,0.2128540407070541,-52.323702762572324,1386.4857122946312,1
37.27484189578341,55.18401266323704,48.85239414325287,1.0971224631653698,1439.996128223007,1435.405601357824,1430.8150744926415,12.240686533195968,4.862640398285817,0.03735426328416741,7.311776714271137,0.12236329785767114,1439.4572925758964,1435.305772895654,1431.154253215411,-0.11550776520830192,341.1970870178768,1434.945435356816,0.017587808999571963,0.07740391342850454,0.7687077667124392,1471.2907413917696,1435.405601357824,1399.5204613238786,0.00544050284549084,0.07740391342850454,53.61394628525125,14359.069670510804,1433.773055978853,1438.0117673795978,1435.9055867449322,1435.4193695033987,1435.405601357824,1435.3571652180217,1436.416494590382,0.4527083721532332,15.967063005663121,53.521611051071844,0.0072599938191717055,51.83674847706692,0.4527083721532332,0.005552762782399795,0.03735426328416741,-44.948692123776446,1446.5018605600198,1
37.277905084702375,54.56182472989195,49.03961584633853,0.8270683495760137,1442.3800795126797,1439.7521444572517,1437.1242094018232,3.55725349168299,5.220468867399452,0.03937772181489857,1.5842497586587234,0.03502536140442163,1442.307159064804,1439.769960898694,1437.2327627325844,-0.02416081953066125,947.2147027825305,1439.8210145901844,0.0001359052010427386,0.006006757888653942,0.009496730656165641,1475.7459480686828,1439.7521444572517,1403.7583408458202,0.00042454750325050816,0.006006757888653942,51.0108959808379,14397.91738832324,1438.4245862570244,1441.2061650715355,1439.773189270351,1439.2648187910581,1439.7521444572517,1439.779822660003,1439.784473350854,0.40104916061116846,-1.0429809496187126,51.06315399434546,0.0003713550217271797,49.51267975407752,0.40104916061116846,0.0039428345345717064,0.03937772181489857,-48.58647453039591,1450.5424337258885,1
35.81874052131988,53.04709141274238,52.19628017411951,0.704484600158657,1449.9901025054762,1447.5459783531962,1445.101854200916,3.3519965659467172,5.474862380853395,-0.17020460562368883,-1.2909407934209634,0.027982109438758056,1449.8366188327582,1447.5267849014976,1445.2169509702376,-0.009146087381414668,660.4389219706002,1447.5262289394511,-0.0001468197877841355,0.010457183231187061,-0.001972111221465994,1483.7346278120256,1447.5459783531962,1411.3573288943662,0.0007306006153611822,0.010457183231187061,50.3135487394912,14475.366434397047,1446.2833409413001,1448.7802345844873,1447.5564008832832,1447.0785395363569,1447.5459783531962,1447.5438527077706,1447.539411348339,0.4140541413781346,-0.5686797090051453,50.315455231582845,-4.393430697335641e-05,48.874472697603515,0.4140541413781346,0.003491987495852536,-0.17020460562368883,-49.87220839539256,1453.7486518635474,0
36.141782886878346,54.68935496636328,48.85239414325286,0.6006338096065312,1459.669596331726,1457.3300829952907,1454.9905696588555,17.330397284568267,7.467950352372291,0.09486094748372702,4.286833979246157,0.09195385540405968,1459.38424551201,1457.2813040019957,1455.1783624919817,-0.07159148086928949,338.68908933554775,1457.2832740895628,0.004358645052700731,0.038322489690884684,0.2110317061496354,1493.7633350701728,1457.3300829952907,1420.8968309204085,0.002643819838528726,0.038322489690884684,52.56594843197389,14575.051093661239,1456.3762206676276,1458.6332396281464,1457.4986826923648,1457.2241382039065,1457.3300829952907,1457.352819318099,1457.6334452950628,0.42804656320824847,9.401791481139558,52.50403095271555,0.0022246215713875666,52.76919033299163,0.42804656320824847,0.0031387772677103137,0.09486094748372702,-46.12704396447825,1459.814630463495,1
35.202179936773156,53.69047619047619,52.87698412698413,0.6444245763089158,1463.18144863496,1460.8532107130152,1458.5249727910707,-2.5978797729285463,7.3076055076452375,0.08228564880530133,-0.8661758433623669,0.018733689550141985,1463.0411135850907,1460.905782357811,1458.7704511305317,-0.03032164818150199,527.8170874935813,1460.8825192055936,-0.0014074372545943934,-0.008496143877711247,-0.04506674691985684,1497.3745409808407,1460.8532107130152,1424.3318804451899,-0.0005738017844073094,-0.008496143877711247,49.5060453583823,14608.38511900559,1459.6742721082487,1462.0036840990017,1460.82536447635,1460.3832032260582,1460.8532107130152,1460.8732124415492,1460.8074126910963,0.4216767171725723,-3.865823474855401,49.564039599514906,-0.00039580681995341854,50.45960859784174,0.4216767171725723,0.0032632118474198216,0.08228564880530133,-50.47661673936203,1469.799514770674,1
35.09680299697212,55.793650793650784,46.03174603174603,0.4526804213997936,1469.639550912904,1468.233675467307,1466.8278000217106,17.915045209120525,7.642500459422452,-0.07025255245796981,8.279535490317286,0.11094418152897806,1469.6141098170215,1468.2323598195785,1466.8506098221353,-0.047696015548931804,438.67872178106205,1468.1132232323926,0.005424014030100511,0.03765461168826694,0.2505506491915974,1504.93951735399,1468.233675467307,1431.5278335806245,0.0025656712617556925,0.03765461168826694,54.7371750021922,14684.022483736264,1467.6703494584715,1469.1349384884343,1468.404340093205,1468.2080834894298,1468.233675467307,1468.2256319818837,1468.5671460566773,0.3947042443024153,17.486096132193406,54.59005087308647,0.0023925846531058473,53.18683764389891,0.3947042443024153,0.0021541144487744147,-0.07025255245796981,-45.10140134457651,1474.1694336260189,1
39.29991816386238,54.96807661612131,51.6560255387071,0.6225234647119965,1476.064927884599,1473.6059982260922,1471.1470685675852,10.626431593964263,6.269848629366231,-0.046059121149457746,9.744288593522288,0.06292584752220905,1475.7873660647083,1473.5504441339167,1471.3135222031244,-0.07342521992816031,369.99713749258717,1473.4581483180411,0.008355461282462815,0.051765332839847855,0.38644464170602205,1510.4461481817445,1473.6059982260922,1436.7658482704398,0.0035339449107913,0.051765332839847855,55.1538973008187,14738.960357192349,1472.732774275469,1475.0115929570757,1473.9086494241733,1473.6533406594958,1473.6059982260922,1473.6127987933467,1474.1350121357693,0.45549535815091813,14.689701106483687,55.079727965936584,0.0038855839286551144,53.93237746873758,0.45549535815091813,0.003126160356299474,-0.046059121149457746,-44.69653830350776,1479.9362522004863,0
39.4896613085776,61.79263949347051,37.53462603878116,0.4034252074872927,1485.8951573033764,1484.3596304718003,1482.8241036402244,41.203226757826,3.121679670792015,-0.17125945944704676,19.045937323433485,0.35932643902507005,1485.8197536633745,1484.402241371716,1482.9847290800571,-0.0976101911212916,191.9996932068657,1484.290092595842,0.0057344457581873795,0.06226524890784984,0.28556867852999807,1521.4686212335953,1484.3596304718003,1447.2506397100053,0.004196795949068063,0.06226524890784984,59.84521668136096,14845.82271943583,1483.8788062827139,1485.3042389809784,1484.5734268239796,1484.522421965235,1484.3596304718003,1484.3837794748736,1484.7642090610584,0.43402094135255886,23.029532259634998,59.8871775216917,0.002872005578265851,54.413029556602275,0.43402094135255886,0.0019375513876726015,-0.17125945944704676,-38.447239660192906,1489.2305216737432,1
