Date,avg_ADX,avg_aroonUp,avg_aroonDn,avg_ATR,avg_BBands_up,avg_BBands_mid,avg_BBands_dn,avg_CCI,avg_chaikinVolatility,avg_CLV,avg_CMOClose,avg_CTI,avg_Donchian_up,avg_Donchian_mid,avg_Donchian_dn,avg_DPOClose,avg_DVIClose,avg_GMMAClose,avg_KSTClose,avg_lagsClose,avg_MACD,avg_PBands_up,avg_PBands_mid,avg_PBands_dn,avg_ROCClose,avg_momentumClose,avg_RSIClose,avg_runSum,avg_runMin,avg_runMax,avg_runMedian,avg_SAR,avg_SMAClose,avg_EMAClose,avg_DEMAClose,avg_SNR,avg_SMI,avg_TDI,avg_TRIX,avg_ultimateOscillator,avg_VHF,avg_volatility,avg_williamsAD,avg_WPR,avg_ZigZag,Y
2020-01-09,38.216319243034086,55.40166204986149,51.00910170162248,0.6989405606377072,3272.7382816387303,3270.3694922099758,3268.0007027812208,13.768065441425254,1.1065900500547894,0.10310670086089076,8.75616199184708,0.1067227379494706,3272.373588072485,3270.2394089717245,3268.1052298709633,-0.08872191144742687,387.5607228807547,3270.344784456908,0.0019103604707759458,0.05100877113160131,0.2197732013364506,3352.1287295152247,3270.3694922099758,3188.610254904726,0.001567459004760605,0.05100877113160131,54.04529327671254,32705.66360852275,3269.4483519945798,3271.690714172692,3270.555173168613,3270.1239620549422,3270.3694922099758,3270.408183704786,3270.6959478479134,0.42488795128145945,14.111938881521848,54.07804483450878,0.0010726501474517488,52.03177436983768,0.42488795128145945,0.0015555811607893492,0.10310670086089076,-43.698955844734485,3273.3924236363855,1
2020-01-10,41.714308069676505,49.8812821527503,54.64978235061337,0.6525667822772651,3277.499513888404,3275.422049467594,3273.344585046786,-12.006745991131229,3.6742618797159214,-0.04164507098508133,-2.378585718314693,-0.08346270005708248,3277.383696395858,3275.3500867189246,3273.3164770419926,0.02976839051731943,325.365368880091,3275.40532182172,-0.0006333063869391048,-0.027146005756046514,-0.07020524207835534,3357.307600704284,3275.422049467594,3193.536498230905,-0.0008286672861760512,-0.027146005756046514,48.44842036956859,32753.528525749065,3274.2345342961435,3276.3294019020664,3275.3838524994535,3274.793517995416,3275.422049467594,3275.4063669409056,3275.3158533646433,0.4616265290773063,1.7904030904125183,48.52201701734757,-0.0003779949160709862,49.339531103188335,0.4616265290773063,0.0012612091172986262,-0.04164507098508133,-49.37022127436743,3281.7919706671696,0
2020-01-13,37.823651587495306,61.594776414721004,48.516026909378716,0.5257849175473143,3280.591887463796,3279.1700268217987,3277.7481661798024,32.050591463966384,0.24141925280819979,0.03967186118807532,13.612135415045618,0.24022849685134182,3280.5412556401575,3279.104028882832,3277.666802125507,-0.07000772988282464,295.88810949892513,3279.0304008648445,0.0035407375645220467,0.046980865934720464,0.357367761030847,3361.1492774923436,3279.1700268217987,3197.190776151254,0.0014358359141889761,0.046980865934720464,56.862881120902244,32794.26193044273,3278.7153919942243,3280.1252782784577,3279.437911678204,3279.2318699962766,3279.1700268217987,3279.164639429068,3279.6506635115065,0.4297114981909061,24.65963285679515,56.74184938782607,0.0015871487359442142,52.4725073087345,0.4297114981909061,0.0009243959830090571,0.03967186118807532,-40.30364018820104,3283.770715139041,1
2020-01-14,42.73067783665995,61.713494261970716,50.0791452314998,0.7984287197565132,3288.4624807992336,3286.217668744338,3283.9728566894423,17.0768191739174,13.074062772200019,0.007924893888017936,11.445174033337025,0.12807133548055882,3288.233062446503,3285.984598046115,3283.736133645728,0.02173111539872268,347.5056465956429,3286.1762694356594,-0.00028037308682951915,-0.019010288276314388,-0.03437953679143111,3368.3731104629464,3286.217668744338,3204.06222702573,-0.0005772507415330313,-0.019010288276314388,55.319715807693484,32861.71717135001,3285.0011192479965,3287.2720901456073,3286.195816208352,3285.4939433126065,3286.217668744338,3286.1982014329155,3286.1584984762712,0.4339084873805265,19.32293181521305,55.43549760061163,-0.000240501901431047,52.45484077614763,0.4339084873805265,0.0014309264362147214,0.007924893888017936,-41.16279950255626,3291.343574997318,0
2020-01-15,45.564818522911054,54.82785912148793,52.63157894736842,0.7070695502252329,3294.7455517055732,3292.4491140385276,3290.1526763714824,-5.638978708456828,2.96961948015614,0.03987347139530642,1.599102184290511,-0.09286861547572631,3294.460397122525,3292.2335959181673,3290.0067947138095,-0.030298424511006877,279.42448940350783,3292.3642606194303,0.0010177258010514018,0.0025413294161881214,0.10716054886055408,3374.7603418894905,3292.4491140385276,3210.1378861875646,7.835016967420917e-05,0.0025413294161881214,50.768021508649475,32925.127707037194,3291.3908852879463,3293.550772278936,3292.5324652594595,3292.0062347362696,3292.4491140385276,3292.438111762733,3292.58866482538,0.4824924468472388,10.347388369891698,50.784545459661075,0.0003896146585067877,51.36100663946514,0.4824924468472388,0.001170518599869858,0.03987347139530642,-46.23277135394499,3296.8120883520014,0
2020-01-16,37.770726797470644,60.34823901859913,47.9224376731302,0.5482018167908671,3308.4837842773263,3306.626475749725,3304.769167222124,19.641774524145593,-0.3269068088781402,0.0858929459136153,10.687053535496613,0.1424967476160784,3308.1837848327245,3306.550883430152,3304.9179820275804,-0.0831144314723793,424.5784114225944,3306.431266172584,0.004475408982424296,0.05345175667313831,0.45447402841354034,3389.2921376434683,3306.626475749725,3223.960813855982,0.0016220842658886058,0.05345175667313831,55.78256516893111,33069.4463605136,3306.1167995350143,3307.719912590302,3306.9554488924537,3306.6652674990482,3306.626475749725,3306.616239973736,3307.2357854934094,0.4181526645151594,23.252319573336756,55.70535277238785,0.001970076128588551,54.660694157809296,0.4181526645151594,0.0011024230322416724,0.0858929459136153,-40.78663788192334,3308.657260688958,1
2020-01-17,36.3705978762284,52.71072417886823,53.28452710724178,0.5224991109501212,3325.18625695418,3323.5396341092605,3321.8930112643416,7.4773144707829715,0.353634438583893,-0.012405080253600272,2.9607002590802076,0.08426446999319508,3325.110770943567,3323.538921202049,3321.9670714605327,-0.025394341727001484,240.270984733799,3323.399596496143,0.001951545522681995,0.022087472159405114,0.20408373877145772,3406.628124961992,3323.5396341092605,3240.451143256529,0.0006658049788723674,0.022087472159405114,51.78115321018659,33236.63313396403,3322.885476928409,3324.4606395108385,3323.6607726854168,3323.345558058882,3323.5396341092605,3323.5234900000273,3323.805465325019,0.4388913259442131,7.201862248495641,51.721674414761054,0.0007930707720866005,50.44922452844236,0.4388913259442131,0.0009110947595542397,-0.012405080253600272,-48.09961969842217,3324.872596952396,1
2020-01-21,39.94818713561118,57.14285714285714,51.02888800949743,0.6576294300468452,3325.7939785509234,3323.6725024327475,3321.551026314571,6.86337804210397,5.031065603481827,0.04768474149550625,8.247531761919449,0.047266536334513845,3325.558394807378,3323.5616168446945,3321.564838882011,0.03096884309829157,349.2951570836068,3323.6776395934994,-0.00028194392365024195,-0.009178111303295596,-0.041402743076728796,3406.7643149935657,3323.6725024327475,3240.580689871929,-0.00027431893385533465,-0.009178111303295596,53.61390231586182,33236.38023009313,3322.5881016767744,3324.6181552185712,3323.659956070363,3323.122266075948,3323.6725024327475,3323.6622067402714,3323.6088015305586,0.4693484577508063,9.302595701561357,53.700814043063026,-0.00018323725212061062,51.55326762893676,0.4693484577508063,0.0012686094311952377,0.04768474149550625,-44.86435160201336,3329.5089941166166,0
2020-01-22,44.27783614980126,51.088246933122285,55.16422635536209,0.6137865499808633,3332.180025139009,3330.028044199647,3327.876063260285,-6.516651715782628,2.9900162744112495,1.7130796103806332,0.2328928734668467,-0.03595593855182978,3331.8940349604586,3329.9371869720253,3327.980338983591,-0.006748564286772055,240.92189881128692,3329.970599320692,0.0006159958327640782,0.00527045738765178,0.06128878852006559,3413.2787453046376,3330.028044199647,3246.777343094656,0.00016003626209520864,0.00527045738765178,50.25454185507673,33300.61523260173,3329.054916091053,3331.025871780542,3330.0795970821,3329.545145396049,3330.028044199647,3330.018170918107,3330.1036536994707,0.4623535482165293,1.7871955380742406,50.32779812594621,0.00022866786905565141,50.61836361005266,0.4623535482165293,0.001169156968989868,1.7130796103806332,-49.196499971905645,3335.14190942655,0
2020-01-23,39.85530304739921,58.90383854372773,45.17214087851207,0.8137442940993481,3317.0410581182855,3314.1510833064044,3311.261108494524,21.860998275489784,1.6528481308330334,0.05015558115421689,8.258180346194406,0.19458145080772987,3316.70544207889,3314.0600848877584,3311.4147276966273,-0.001812875034421492,398.6566222169315,3314.1739114508505,3.188204891299969e-05,0.015087654283456623,-0.0013448649740697813,3397.0048603890646,3314.1510833064044,3231.2973062237443,0.0004562059234931381,0.015087654283456623,54.13474134952106,33141.49828630256,3312.787739587279,3315.4962738041195,3314.1704791679495,3313.5776962601963,3314.1510833064044,3314.1518875030824,3314.149973566747,0.44656489705665636,12.219557446925517,54.20181632828434,-1.0945384489186074e-06,51.8663089806168,0.44656489705665636,0.0015702669266760428,0.05015558115421689,-42.80334575900769,,1
